Data,Passeggeri,Ore di Navigazione,KM Navigata
01/01/2018,66,6.53,61.3
01/02/2018,302,6.53,61.3
01/03/2018,67,6.53,61.3
01/04/2018,82,6.53,61.3
01/05/2018,56,6.53,61.3
01/06/2018,26,6.53,61.3
01/07/2018,10,6.53,61.3
01/08/2018,0,0.00,0.0
01/09/2018,0,0.00,0.0
01/10/2018,0,0.00,0.0
01/11/2018,0,0.00,0.0
01/12/2018,38,6.53,61.3
01/13/2018,105,6.53,61.3
01/14/2018,64,6.53,61.3
01/15/2018,0,0.00,0.0
01/16/2018,0,0.00,0.0
01/17/2018,0,0.00,0.0
01/18/2018,63,6.53,61.3
01/19/2018,47,6.53,61.3
01/20/2018,73,6.53,61.3
01/21/2018,136,6.53,61.3
01/22/2018,34,6.53,61.3
01/23/2018,69,6.53,61.3
01/24/2018,37,6.53,61.3
01/25/2018,0,0.00,0.0
01/26/2018,0,0.00,0.0
01/27/2018,0,0.00,0.0
01/28/2018,0,0.00,0.0
01/29/2018,0,0.00,0.0
01/30/2018,0,0.00,0.0
01/31/2018,0,0.00,0.0
02/01/2018,0,0.00,0.0
02/02/2018,0,0.00,0.0
02/03/2018,0,0.00,0.0
02/04/2018,0,0.00,0.0
02/05/2018,0,0.00,0.0
02/06/2018,0,0.00,0.0
02/07/2018,0,0.00,0.0
02/08/2018,0,0.00,0.0
02/09/2018,0,0.00,0.0
02/10/2018,154,6.53,61.3
02/11/2018,159,6.53,61.3
02/12/2018,60,6.53,61.3
02/13/2018,91,6.53,61.3
02/14/2018,47,6.53,61.3
02/15/2018,94,6.53,61.3
02/16/2018,161,6.53,61.3
02/17/2018,90,6.53,61.3
02/18/2018,127,6.53,61.3
02/19/2018,16,6.53,61.3
02/20/2018,76,6.53,61.3
02/21/2018,99,6.53,61.3
02/22/2018,54,6.53,61.3
02/23/2018,9,6.53,61.3
02/24/2018,73,6.53,61.3
02/25/2018,4,6.53,61.3
02/26/2018,23,6.53,61.3
02/27/2018,33,6.53,61.3
02/28/2018,23,6.53,61.3
03/01/2018,7,6.53,61.3
03/02/2018,0,0.00,0.0
03/03/2018,26,6.53,61.3
03/04/2018,75,6.53,61.3
03/05/2018,47,6.53,61.3
03/06/2018,12,6.53,61.3
03/07/2018,12,6.53,61.3
03/08/2018,133,6.53,61.3
03/09/2018,121,6.53,61.3
03/10/2018,46,6.53,61.3
03/11/2018,0,0.00,0.0
03/12/2018,20,6.53,61.3
03/13/2018,97,6.53,61.3
03/14/2018,92,6.53,61.3
03/15/2018,71,6.53,61.3
03/16/2018,63,6.53,61.3
03/17/2018,49,6.53,61.3
03/18/2018,43,6.53,61.3
03/19/2018,24,6.53,61.3
03/20/2018,110,6.53,61.3
03/21/2018,80,6.53,61.3
03/22/2018,80,6.53,61.3
03/23/2018,138,6.53,61.3
03/24/2018,300,6.53,61.3
03/25/2018,476,26.07,357.2
03/26/2018,350,26.07,357.2
03/27/2018,673,26.07,357.2
03/28/2018,379,26.07,357.2
03/29/2018,106,14.43,195.8
03/30/2018,453,28.48,388.0
03/31/2018,638,28.48,388.0
04/01/2018,3030,28.48,388.0
04/02/2018,1859,28.48,388.0
04/03/2018,487,26.07,357.2
04/04/2018,208,27.23,371.8
04/05/2018,939,26.07,357.2
04/06/2018,1127,26.07,357.2
04/07/2018,785,26.07,357.2
04/08/2018,777,26.07,357.2
04/09/2018,359,26.07,357.2
04/10/2018,274,26.07,357.2
04/11/2018,369,26.07,357.2
04/12/2018,230,26.07,357.2
04/13/2018,340,23.45,320.6
04/14/2018,1170,26.07,357.2
04/15/2018,981,26.07,357.2
04/16/2018,820,27.32,373.4
04/17/2018,1159,26.07,357.2
04/18/2018,1329,26.07,357.2
04/19/2018,1098,26.07,357.2
04/20/2018,967,26.07,357.2
04/21/2018,1602,26.07,357.2
04/22/2018,1842,26.07,357.2
04/23/2018,1021,26.07,357.2
04/24/2018,968,26.07,357.2
04/25/2018,1495,27.32,373.4
04/26/2018,1107,26.07,357.2
04/27/2018,376,26.07,357.2
04/28/2018,1197,26.07,357.2
04/29/2018,1122,26.07,357.2
04/30/2018,1171,27.23,371.8
05/01/2018,1253,27.23,371.8
05/02/2018,310,27.23,371.8
05/03/2018,701,26.07,357.2
05/04/2018,580,26.07,357.2
05/05/2018,1389,26.07,357.2
05/06/2018,1436,26.07,357.2
05/07/2018,707,26.07,357.2
05/08/2018,759,26.07,357.2
05/09/2018,720,25.98,356.7
05/10/2018,1649,25.98,356.7
05/11/2018,2246,24.82,342.1
05/12/2018,1744,24.82,342.1
05/13/2018,799,24.82,342.1
05/14/2018,400,26.07,357.2
05/15/2018,697,27.23,371.8
05/16/2018,654,25.98,356.7
05/17/2018,957,24.82,342.1
05/18/2018,1050,26.07,357.2
05/19/2018,1236,28.48,388.0
05/20/2018,1476,27.23,371.8
05/21/2018,944,28.48,388.0
05/22/2018,594,28.48,388.0
05/23/2018,880,28.48,388.0
05/24/2018,1330,28.48,388.0
05/25/2018,1662,28.48,388.0
05/26/2018,1651,28.48,388.0
05/27/2018,1485,28.48,388.0
05/28/2018,663,28.48,388.0
05/29/2018,699,28.48,388.0
05/30/2018,839,28.48,388.0
05/31/2018,1183,28.48,388.0
06/01/2018,1647,30.82,419.7
06/02/2018,1936,30.82,419.7
06/03/2018,1431,28.48,388.0
06/04/2018,490,28.48,388.0
06/05/2018,1732,30.73,422.4
06/06/2018,983,28.48,388.0
06/07/2018,1219,33.07,454.1
06/08/2018,944,30.82,419.7
06/09/2018,1646,28.48,388.0
06/10/2018,1683,28.48,388.0
06/11/2018,991,28.48,388.0
06/12/2018,1398,30.73,422.4
06/13/2018,1306,28.48,388.0
06/14/2018,1627,33.07,454.1
06/15/2018,1248,30.82,419.7
06/16/2018,1673,30.82,419.7
06/17/2018,1770,28.48,388.0
06/18/2018,1179,28.48,388.0
06/19/2018,1487,30.73,422.4
06/20/2018,1259,28.48,388.0
06/21/2018,1507,33.07,454.1
06/22/2018,1303,30.82,419.7
06/23/2018,1971,30.82,419.7
06/24/2018,1499,28.48,388.0
06/25/2018,909,28.48,388.0
06/26/2018,1746,30.73,422.4
06/27/2018,1296,28.48,388.0
06/28/2018,1514,33.07,454.1
06/29/2018,1527,30.82,419.7
06/30/2018,1807,30.82,419.7
07/01/2018,1497,28.48,388.0
07/02/2018,1124,28.48,388.0
07/03/2018,1194,30.73,422.4
07/04/2018,1322,27.32,373.3
07/05/2018,1387,33.07,454.1
07/06/2018,1466,30.82,419.7
07/07/2018,1631,30.82,419.7
07/08/2018,1679,28.48,388.0
07/09/2018,1263,28.48,388.0
07/10/2018,1481,30.73,422.4
07/11/2018,1455,28.48,388.0
07/12/2018,1402,33.07,454.1
07/13/2018,1722,30.82,419.7
07/14/2018,1645,30.82,419.7
07/15/2018,1604,28.48,388.0
07/16/2018,1214,28.48,388.0
07/17/2018,1838,30.73,422.4
07/18/2018,1721,28.48,388.0
07/19/2018,2066,33.07,454.1
07/20/2018,1633,30.82,419.7
07/21/2018,958,30.82,419.7
07/22/2018,2169,28.48,388.0
07/23/2018,1628,28.48,388.0
07/24/2018,1806,30.73,422.4
07/25/2018,1891,28.48,388.0
07/26/2018,1887,33.07,454.1
07/27/2018,1832,30.82,419.7
07/28/2018,1731,30.82,419.7
07/29/2018,2277,28.48,388.0
07/30/2018,1537,28.48,388.0
07/31/2018,2075,30.73,422.4
08/01/2018,1785,28.48,388.0
08/02/2018,1841,33.07,454.1
08/03/2018,1900,30.82,419.7
08/04/2018,1708,30.82,419.7
08/05/2018,1438,24.93,339.2
08/06/2018,1204,28.48,388.0
08/07/2018,1776,30.73,422.4
08/08/2018,1789,28.48,388.0
08/09/2018,1733,33.07,454.1
08/10/2018,1631,30.82,419.7
08/11/2018,2009,30.82,419.7
08/12/2018,1454,28.48,388.0
08/13/2018,722,28.48,388.0
08/14/2018,1988,30.73,422.4
08/15/2018,2277,28.48,388.0
08/16/2018,1846,33.07,454.1
08/17/2018,1869,30.82,419.7
08/18/2018,2154,30.82,419.7
08/19/2018,1842,25.87,351.4
08/20/2018,1291,28.48,388.0
08/21/2018,1689,30.73,422.4
08/22/2018,1677,28.48,388.0
08/23/2018,1742,33.07,454.1
08/24/2018,1600,30.82,419.7
08/25/2018,1433,30.82,419.7
08/26/2018,1971,28.48,388.0
08/27/2018,1179,28.48,388.0
08/28/2018,1743,28.48,388.0
08/29/2018,1658,28.48,388.0
08/30/2018,1696,28.48,388.0
08/31/2018,436,28.48,388.0
09/01/2018,1114,28.48,388.0
09/02/2018,1481,28.48,388.0
09/03/2018,1288,28.48,388.0
09/04/2018,1869,28.48,388.0
09/05/2018,1520,28.48,388.0
09/06/2018,1235,28.48,388.0
09/07/2018,1207,28.48,388.0
09/08/2018,1938,28.48,388.0
09/09/2018,1932,28.48,388.0
09/10/2018,1476,28.48,388.0
09/11/2018,1376,28.48,388.0
09/12/2018,1581,28.48,388.0
09/13/2018,1289,28.48,388.0
09/14/2018,1503,28.48,388.0
09/15/2018,1961,28.48,388.0
09/16/2018,1295,28.48,388.0
09/17/2018,1436,28.48,388.0
09/18/2018,1014,28.48,388.0
09/19/2018,1840,28.48,388.0
09/20/2018,1638,28.48,388.0
09/21/2018,1509,28.48,388.0
09/22/2018,2223,28.48,388.0
09/23/2018,2211,28.48,388.0
09/24/2018,1250,28.48,388.0
09/25/2018,1253,28.48,388.0
09/26/2018,1299,28.48,388.0
09/27/2018,1357,28.48,388.0
09/28/2018,1517,28.48,388.0
09/29/2018,1871,28.48,388.0
09/30/2018,1410,28.48,388.0
10/01/2018,599,27.23,371.8
10/02/2018,1673,27.23,371.8
10/03/2018,1880,26.07,357.2
10/04/2018,1910,26.07,357.2
10/05/2018,1816,26.07,357.2
10/06/2018,1122,26.07,357.2
10/07/2018,1692,26.07,357.2
10/08/2018,1288,24.90,342.5
10/09/2018,1820,26.07,357.2
10/10/2018,867,26.07,357.2
10/11/2018,613,27.23,371.8
10/12/2018,1377,27.32,373.4
10/13/2018,1645,27.23,371.8
10/14/2018,1512,27.23,371.8
10/15/2018,845,26.07,357.2
10/16/2018,1172,27.23,371.8
10/17/2018,1133,26.07,357.2
10/18/2018,1305,26.07,357.2
10/19/2018,1394,26.07,357.2
10/20/2018,1648,27.23,371.8
10/21/2018,1405,26.07,357.2
10/22/2018,194,4.50,36.7
10/23/2018,229,4.50,36.7
10/24/2018,340,4.50,36.7
10/25/2018,245,4.50,36.7
10/26/2018,163,4.50,36.7
10/27/2018,187,4.50,51.2
10/28/2018,21,4.50,51.2
10/29/2018,10,4.50,36.7
10/30/2018,16,4.50,36.7
10/31/2018,53,4.50,36.7
11/01/2018,62,4.50,51.2
11/02/2018,83,4.50,36.7
11/03/2018,147,4.50,51.2
11/04/2018,114,4.50,51.2
11/05/2018,21,4.50,36.7
11/06/2018,23,4.50,36.7
11/07/2018,16,4.50,36.7
11/08/2018,40,4.50,36.7
11/09/2018,32,4.50,36.7
11/10/2018,48,4.50,51.2
11/11/2018,40,4.50,51.2
11/12/2018,21,4.50,36.7
11/13/2018,67,4.50,36.7
11/14/2018,68,4.50,36.7
11/15/2018,80,4.50,36.7
11/16/2018,247,4.50,36.7
11/17/2018,95,4.50,51.2
11/18/2018,128,4.50,51.2
11/19/2018,11,4.50,36.7
11/20/2018,27,4.50,36.7
11/21/2018,14,4.50,36.7
11/22/2018,27,4.50,36.7
11/23/2018,14,4.50,36.7
11/24/2018,39,4.50,51.2
11/25/2018,71,4.50,51.2
11/26/2018,28,4.50,36.7
11/27/2018,49,4.50,36.7
11/28/2018,56,4.50,36.7
11/29/2018,25,4.50,36.7
11/30/2018,5,4.50,36.7
12/01/2018,77,4.50,51.2
12/02/2018,79,4.50,51.2
12/03/2018,46,4.50,36.7
12/04/2018,102,4.50,36.7
12/05/2018,72,4.50,36.7
12/06/2018,186,4.50,36.7
12/07/2018,54,4.50,36.7
12/08/2018,192,4.50,51.2
12/09/2018,142,4.50,51.2
12/10/2018,41,4.50,36.7
12/11/2018,65,4.50,36.7
12/12/2018,25,4.50,36.7
12/13/2018,17,4.50,36.7
12/14/2018,37,4.50,36.7
12/15/2018,43,4.50,51.2
12/16/2018,34,4.50,51.2
12/17/2018,24,4.50,36.7
12/18/2018,47,4.50,36.7
12/19/2018,7,4.50,36.7
12/20/2018,6,4.50,36.7
12/21/2018,30,4.50,36.7
12/22/2018,73,4.50,51.2
12/23/2018,133,4.50,51.2
12/24/2018,48,4.50,36.7
12/25/2018,0,0.00,0.0
12/26/2018,167,4.50,51.2
12/27/2018,101,4.50,36.7
12/28/2018,90,4.50,36.7
12/29/2018,261,4.50,51.2
12/30/2018,346,4.50,51.2
12/31/2018,272,4.50,36.7
01/01/2019,291,4.50,69.4
01/02/2019,134,4.50,71.5
01/03/2019,162,4.50,71.5
01/04/2019,111,4.50,71.5
01/05/2019,157,4.50,69.4
01/06/2019,138,4.50,69.4
01/07/2019,0,0.00,0.0
01/08/2019,0,0.00,0.0
01/09/2019,0,0.00,0.0
01/10/2019,0,0.00,0.0
01/11/2019,0,0.00,0.0
01/12/2019,0,0.00,0.0
01/13/2019,0,0.00,0.0
01/14/2019,0,0.00,0.0
01/15/2019,0,0.00,0.0
01/16/2019,0,0.00,0.0
01/17/2019,0,0.00,0.0
01/18/2019,0,0.00,0.0
01/19/2019,0,0.00,0.0
01/20/2019,0,0.00,0.0
01/21/2019,0,0.00,0.0
01/22/2019,0,0.00,0.0
01/23/2019,0,0.00,0.0
01/24/2019,0,0.00,0.0
01/25/2019,0,0.00,0.0
01/26/2019,0,0.00,0.0
01/27/2019,0,0.00,0.0
01/28/2019,0,0.00,0.0
01/29/2019,0,0.00,0.0
01/30/2019,0,0.00,0.0
01/31/2019,0,0.00,0.0
02/01/2019,0,0.00,0.0
02/02/2019,0,0.00,0.0
02/03/2019,0,0.00,0.0
02/04/2019,0,0.00,0.0
02/05/2019,0,0.00,0.0
02/06/2019,0,0.00,0.0
02/07/2019,0,0.00,0.0
02/08/2019,0,0.00,0.0
02/09/2019,145,4.50,69.4
02/10/2019,34,4.50,69.4
02/11/2019,85,4.50,71.5
02/12/2019,116,4.50,71.5
02/13/2019,94,4.50,71.5
02/14/2019,81,4.50,71.5
02/15/2019,119,4.50,71.5
02/16/2019,192,4.50,69.4
02/17/2019,245,4.50,69.4
02/18/2019,48,4.50,71.5
02/19/2019,66,4.50,71.5
02/20/2019,63,4.50,71.5
02/21/2019,57,4.50,71.5
02/22/2019,138,4.50,71.5
02/23/2019,152,4.50,69.4
02/24/2019,136,4.50,69.4
02/25/2019,73,4.50,71.5
02/26/2019,66,4.50,71.5
02/27/2019,148,4.50,71.5
02/28/2019,124,4.50,71.5
03/01/2019,180,4.50,71.5
03/02/2019,284,4.50,69.4
03/03/2019,365,4.50,69.4
03/04/2019,28,4.50,71.5
03/05/2019,148,4.50,71.5
03/06/2019,39,4.50,71.5
03/07/2019,45,4.50,71.5
03/08/2019,121,4.50,71.5
03/09/2019,382,4.50,69.4
03/10/2019,422,4.50,69.4
03/11/2019,141,4.50,71.5
03/12/2019,175,4.50,71.5
03/13/2019,99,4.50,71.5
03/14/2019,163,4.50,71.5
03/15/2019,220,4.50,71.5
03/16/2019,408,4.50,69.4
03/17/2019,57,4.50,69.4
03/18/2019,115,4.50,71.5
03/19/2019,102,2.25,34.7
03/20/2019,81,4.50,71.5
03/21/2019,145,4.50,71.5
03/22/2019,155,4.50,71.5
03/23/2019,369,4.50,69.4
03/24/2019,438,4.50,69.4
03/25/2019,215,4.50,71.5
03/26/2019,184,4.50,71.5
03/27/2019,161,4.50,71.5
03/28/2019,165,4.50,71.5
03/29/2019,173,4.50,71.5
03/30/2019,597,4.50,69.4
03/31/2019,251,4.50,69.4
04/01/2019,205,4.50,71.5
04/02/2019,154,4.50,71.5
04/03/2019,25,4.50,71.5
04/04/2019,13,4.50,71.5
04/05/2019,129,4.50,71.5
04/06/2019,175,4.50,69.4
04/07/2019,562,23.46,320.6
04/08/2019,613,16.34,214.8
04/09/2019,760,23.01,313.5
04/10/2019,560,27.88,384.5
04/11/2019,409,23.01,313.5
04/12/2019,459,23.01,313.5
04/13/2019,761,28.33,391.6
04/14/2019,347,23.46,320.6
04/15/2019,811,16.34,214.8
04/16/2019,514,23.01,313.5
04/17/2019,1034,27.88,384.5
04/18/2019,1104,23.01,313.5
04/19/2019,1749,23.01,313.5
04/20/2019,2722,28.33,391.6
04/21/2019,2703,23.46,320.6
04/22/2019,1400,22.04,304.3
04/23/2019,338,23.01,313.5
04/24/2019,410,27.88,384.5
04/25/2019,1085,23.01,313.5
04/26/2019,381,23.01,313.5
04/27/2019,2249,28.33,391.6
04/28/2019,1645,23.46,320.6
04/29/2019,1043,16.34,214.8
04/30/2019,1556,23.01,313.5
05/01/2019,2278,28.33,391.6
05/02/2019,1048,23.01,313.5
05/03/2019,724,23.01,313.5
05/04/2019,1451,28.33,391.6
05/05/2019,767,23.46,320.6
05/06/2019,793,16.34,214.8
05/07/2019,897,23.01,313.5
05/08/2019,238,27.88,384.5
05/09/2019,841,23.01,313.5
05/10/2019,921,23.01,313.5
05/11/2019,845,28.33,391.6
05/12/2019,1162,23.46,320.6
05/13/2019,820,16.34,214.8
05/14/2019,865,23.01,313.5
05/15/2019,871,27.88,384.5
05/16/2019,1019,23.01,313.5
05/17/2019,478,23.01,313.5
05/18/2019,718,28.33,391.6
05/19/2019,518,23.46,320.6
05/20/2019,256,16.34,214.8
05/21/2019,1212,23.01,313.5
05/22/2019,961,23.01,313.5
05/23/2019,1140,23.01,313.5
05/24/2019,925,23.01,313.5
05/25/2019,815,28.33,391.6
05/26/2019,917,23.46,320.6
05/27/2019,761,16.34,214.8
05/28/2019,576,23.01,313.5
05/29/2019,1151,27.88,384.5
05/30/2019,2030,23.46,320.6
05/31/2019,2499,25.35,345.2
06/01/2019,2748,30.67,423.3
06/02/2019,1520,23.46,320.6
06/03/2019,906,16.34,214.8
06/04/2019,1367,23.01,313.5
06/05/2019,987,27.88,384.5
06/06/2019,868,23.01,313.5
06/07/2019,1224,25.35,345.2
06/08/2019,1913,30.67,423.3
06/09/2019,1848,23.46,320.6
06/10/2019,979,23.46,320.6
06/11/2019,999,23.01,313.5
06/12/2019,987,27.88,384.5
06/13/2019,1472,23.01,313.5
06/14/2019,1403,25.35,345.2
06/15/2019,1716,30.67,423.3
06/16/2019,1977,23.46,320.6
06/17/2019,996,16.34,214.8
06/18/2019,1587,23.01,313.5
06/19/2019,1396,27.88,384.5
06/20/2019,1441,23.46,320.6
06/21/2019,1267,25.35,345.2
06/22/2019,841,30.67,423.3
06/23/2019,1662,23.46,320.6
06/24/2019,987,16.34,214.8
06/25/2019,1373,23.01,313.5
06/26/2019,1104,27.88,384.5
06/27/2019,1194,23.01,313.5
06/28/2019,1047,25.35,345.2
06/29/2019,1621,30.67,423.3
06/30/2019,1286,23.46,320.6
07/01/2019,514,16.34,214.8
07/02/2019,1082,23.01,313.5
07/03/2019,1127,27.88,384.5
07/04/2019,1070,23.01,313.5
07/05/2019,1123,25.35,345.2
07/06/2019,1530,30.67,423.3
07/07/2019,1698,23.46,320.6
07/08/2019,886,16.34,214.8
07/09/2019,1401,23.01,313.5
07/10/2019,1373,27.88,384.5
07/11/2019,1039,23.01,313.5
07/12/2019,1681,25.35,345.2
07/13/2019,2113,30.67,423.3
07/14/2019,1911,23.46,320.6
07/15/2019,715,16.34,214.8
07/16/2019,1467,23.01,313.5
07/17/2019,1613,27.88,384.5
07/18/2019,1358,23.01,313.5
07/19/2019,1574,25.35,345.2
07/20/2019,1844,30.67,423.3
07/21/2019,1847,23.46,320.6
07/22/2019,1025,15.09,199.7
07/23/2019,1727,23.01,313.5
07/24/2019,1905,27.88,384.5
07/25/2019,1361,23.01,313.5
07/26/2019,1393,24.35,330.7
07/27/2019,1397,30.67,423.3
07/28/2019,1712,23.46,320.6
07/29/2019,1214,14.92,198.5
07/30/2019,1527,23.01,313.5
07/31/2019,1334,27.88,384.5
08/01/2019,2012,23.46,320.6
08/02/2019,1555,25.35,345.2
08/03/2019,2352,30.67,423.3
08/04/2019,2046,23.46,320.6
08/05/2019,1482,16.34,214.8
08/06/2019,1555,23.01,313.5
08/07/2019,524,27.88,384.5
08/08/2019,1893,23.01,313.5
08/09/2019,1796,25.35,345.2
08/10/2019,1554,30.67,423.3
08/11/2019,1436,23.46,320.6
08/12/2019,846,16.34,214.8
08/13/2019,1922,23.01,313.5
08/14/2019,1835,24.74,336.5
08/15/2019,2237,23.46,320.6
08/16/2019,2032,25.35,345.2
08/17/2019,2005,30.67,423.3
08/18/2019,1590,23.46,320.6
08/19/2019,903,16.34,214.8
08/20/2019,1006,23.01,313.5
08/21/2019,1223,27.88,384.5
08/22/2019,1223,23.01,313.5
08/23/2019,1132,23.01,313.5
08/24/2019,1444,28.33,391.6
08/25/2019,1625,23.46,320.6
08/26/2019,984,16.34,214.8
08/27/2019,1285,23.01,313.5
08/28/2019,866,27.88,384.5
08/29/2019,1319,23.01,313.5
08/30/2019,1285,23.01,313.5
08/31/2019,1260,28.33,391.6
09/01/2019,1488,23.46,320.6
09/02/2019,914,16.34,214.8
09/03/2019,1550,23.01,313.5
09/04/2019,1743,27.88,384.5
09/05/2019,1201,23.01,313.5
09/06/2019,661,23.01,313.5
09/07/2019,2234,28.33,391.6
09/08/2019,1488,23.46,320.6
09/09/2019,1350,16.34,214.8
09/10/2019,963,23.01,313.5
09/11/2019,1722,27.88,384.5
09/12/2019,2193,23.01,313.5
09/13/2019,1548,21.76,298.4
09/14/2019,1753,28.33,391.6
09/15/2019,2294,23.46,320.6
09/16/2019,1043,16.34,214.8
09/17/2019,1642,23.01,313.5
09/18/2019,1426,27.88,384.5
09/19/2019,1449,23.01,313.5
09/20/2019,1366,23.01,313.5
09/21/2019,1771,28.33,391.6
09/22/2019,903,23.46,320.6
09/23/2019,595,16.34,214.8
09/24/2019,1712,23.01,313.5
09/25/2019,1587,27.88,384.5
09/26/2019,1715,23.01,313.5
09/27/2019,1121,23.01,313.5
09/28/2019,1330,28.33,391.6
09/29/2019,1282,23.46,320.6
09/30/2019,1245,16.34,214.8
10/01/2019,1289,23.01,313.5
10/02/2019,1615,27.88,384.5
10/03/2019,2508,23.01,313.5
10/04/2019,1518,23.01,313.5
10/05/2019,2507,28.33,391.6
10/06/2019,1693,23.46,320.6
10/07/2019,1771,16.34,214.8
10/08/2019,1998,23.01,313.5
10/09/2019,632,27.88,384.5
10/10/2019,2463,23.01,313.5
10/11/2019,1796,23.01,313.5
10/12/2019,1965,28.33,391.6
10/13/2019,1565,23.46,320.6
10/14/2019,793,16.34,214.8
10/15/2019,362,23.01,313.5
10/16/2019,1152,27.88,384.5
10/17/2019,1132,23.01,313.5
10/18/2019,526,23.01,313.5
10/19/2019,302,28.33,391.6
10/20/2019,377,23.46,320.6
