Date,District From Id,District From Name,Count
2019-05-27,1850,Surselva,22
2019-05-27,2104,Locarno,4714
2019-05-27,24,Neuchâtel,23
2019-05-27,1724,Werdenberg,109
2019-05-27,25,Genève,39
2019-05-27,110,Winterthur,33
2019-05-27,1847,Moesa,654
2019-05-27,2105,Lugano,52294
2019-05-27,106,Horgen,67
2019-05-27,2103,Leventina,783
2019-05-27,312,Luzern-Land,55
2019-05-27,2011,Arbon,21
2019-05-27,6,Obwalden,28
2019-05-27,1723,Rheintal,32
2019-05-27,1851,Viamala,47
2019-05-27,9,Zug,97
2019-05-27,109,Uster,49
2019-05-27,1842,Bernina,83
2019-05-27,2108,Vallemaggia,137
2019-05-27,311,Luzern-Stadt,187
2019-05-27,1846,Maloja,91
2019-05-27,1301,Arlesheim,26
2019-05-27,2225,Lausanne,38
2019-05-27,1403,Schaffhausen,22
2019-05-27,12,Basel-Stadt,179
2019-05-27,313,Hochdorf,50
2019-05-27,7,Nidwalden,30
2019-05-27,103,Bülach,114
2019-05-27,1841,Albula,23
2019-05-27,2101,Bellinzona,9382
2019-05-27,2107,Riviera,798
2019-05-27,112,Zürich,538
2019-05-27,1845,Landquart,26
2019-05-27,314,Sursee,48
2019-05-27,250,Interlaken-Oberhasli,51
2019-05-27,1108,Olten,35
2019-05-27,1721,St. Gallen,31
2019-05-27,246,Bern-Mittelland,126
2019-05-27,2102,Blenio,261
2019-05-27,315,Willisau,23
2019-05-27,1725,Sarganserland,29
2019-05-27,1303,Liestal,23
2019-05-27,107,Meilen,34
2019-05-27,4,Uri,163
2019-05-27,506,Schwyz,72
2019-05-27,1004,La Sarine,21
2019-05-27,1902,Baden,50
2019-05-27,501,Einsiedeln,31
2019-05-27,111,Dietikon,26
2019-05-27,1848,Plessur,42
2019-05-27,2106,Mendrisio,26843
2019-05-27,-1,Other,723
2019-05-28,101,Affoltern,33
2019-05-28,1850,Surselva,26
2019-05-28,2104,Locarno,4855
2019-05-28,24,Neuchâtel,26
2019-05-28,1724,Werdenberg,86
2019-05-28,1904,Brugg,23
2019-05-28,25,Genève,84
2019-05-28,110,Winterthur,23
2019-05-28,2301,Brig,28
2019-05-28,1847,Moesa,657
2019-05-28,2105,Lugano,54827
2019-05-28,106,Horgen,50
2019-05-28,2103,Leventina,713
2019-05-28,312,Luzern-Land,44
2019-05-28,1723,Rheintal,48
2019-05-28,2313,Visp,31
2019-05-28,1851,Viamala,73
2019-05-28,9,Zug,86
2019-05-28,109,Uster,39
2019-05-28,1842,Bernina,66
2019-05-28,2108,Vallemaggia,134
2019-05-28,503,Höfe,33
2019-05-28,244,Oberaargau,21
2019-05-28,311,Luzern-Stadt,135
2019-05-28,1846,Maloja,65
2019-05-28,1301,Arlesheim,40
2019-05-28,1403,Schaffhausen,30
2019-05-28,12,Basel-Stadt,183
2019-05-28,313,Hochdorf,31
2019-05-28,7,Nidwalden,27
2019-05-28,103,Bülach,162
2019-05-28,2101,Bellinzona,10102
2019-05-28,1726,See-Gaster,23
2019-05-28,2107,Riviera,806
2019-05-28,112,Zürich,611
2019-05-28,314,Sursee,35
2019-05-28,250,Interlaken-Oberhasli,29
2019-05-28,104,Dielsdorf,22
2019-05-28,1108,Olten,40
2019-05-28,1721,St. Gallen,40
2019-05-28,246,Bern-Mittelland,110
2019-05-28,2102,Blenio,283
2019-05-28,1725,Sarganserland,47
2019-05-28,1303,Liestal,47
2019-05-28,107,Meilen,55
2019-05-28,4,Uri,543
2019-05-28,506,Schwyz,56
2019-05-28,1004,La Sarine,21
2019-05-28,1902,Baden,46
2019-05-28,111,Dietikon,41
2019-05-28,1848,Plessur,46
2019-05-28,2106,Mendrisio,27095
2019-05-28,-1,Other,637
2019-05-29,101,Affoltern,45
2019-05-29,1850,Surselva,30
2019-05-29,2104,Locarno,4904
2019-05-29,2014,Münchwilen,27
2019-05-29,1728,Wil,41
2019-05-29,24,Neuchâtel,53
2019-05-29,1724,Werdenberg,243
2019-05-29,25,Genève,119
2019-05-29,110,Winterthur,104
2019-05-29,1907,Lenzburg,29
2019-05-29,2301,Brig,47
2019-05-29,1847,Moesa,752
2019-05-29,2105,Lugano,61331
2019-05-29,106,Horgen,129
2019-05-29,2103,Leventina,856
2019-05-29,312,Luzern-Land,75
2019-05-29,2011,Arbon,31
2019-05-29,6,Obwalden,38
2019-05-29,1723,Rheintal,140
2019-05-29,2313,Visp,28
2019-05-29,1910,Zofingen,56
2019-05-29,1851,Viamala,145
2019-05-29,9,Zug,260
2019-05-29,109,Uster,79
2019-05-29,1842,Bernina,52
2019-05-29,2108,Vallemaggia,172
2019-05-29,503,Höfe,48
2019-05-29,105,Hinwil,32
2019-05-29,311,Luzern-Stadt,245
2019-05-29,1846,Maloja,40
2019-05-29,1727,Toggenburg,27
2019-05-29,1301,Arlesheim,75
2019-05-29,2225,Lausanne,81
2019-05-29,1403,Schaffhausen,43
2019-05-29,12,Basel-Stadt,334
2019-05-29,313,Hochdorf,30
2019-05-29,7,Nidwalden,41
2019-05-29,1722,Rorschach,28
2019-05-29,103,Bülach,175
2019-05-29,1909,Rheinfelden,23
2019-05-29,108,Pfäffikon,34
2019-05-29,2101,Bellinzona,10629
2019-05-29,1726,See-Gaster,59
2019-05-29,505,March,40
2019-05-29,2107,Riviera,877
2019-05-29,112,Zürich,1426
2019-05-29,1845,Landquart,86
2019-05-29,2012,Frauenfeld,24
2019-05-29,1901,Aarau,37
2019-05-29,314,Sursee,42
2019-05-29,2013,Kreuzlingen,41
2019-05-29,1844,Imboden,22
2019-05-29,104,Dielsdorf,46
2019-05-29,1108,Olten,55
2019-05-29,1721,St. Gallen,98
2019-05-29,1903,Bremgarten,58
2019-05-29,8,Glarus,43
2019-05-29,246,Bern-Mittelland,273
2019-05-29,2230,Riviera-Pays-d'Enhaut,23
2019-05-29,1908,Muri,27
2019-05-29,2102,Blenio,286
2019-05-29,315,Willisau,34
2019-05-29,1725,Sarganserland,70
2019-05-29,1303,Liestal,39
2019-05-29,107,Meilen,97
2019-05-29,242,Biel/Bienne,41
2019-05-29,4,Uri,1101
2019-05-29,506,Schwyz,123
2019-05-29,1004,La Sarine,37
2019-05-29,1902,Baden,92
2019-05-29,111,Dietikon,53
2019-05-29,1848,Plessur,61
2019-05-29,2106,Mendrisio,27753
2019-05-29,-1,Other,574
2019-05-30,101,Affoltern,39
2019-05-30,1850,Surselva,90
2019-05-30,2104,Locarno,3208
2019-05-30,1728,Wil,38
2019-05-30,24,Neuchâtel,57
2019-05-30,1724,Werdenberg,282
2019-05-30,25,Genève,83
2019-05-30,110,Winterthur,88
2019-05-30,1907,Lenzburg,34
2019-05-30,2301,Brig,100
2019-05-30,1847,Moesa,649
2019-05-30,2105,Lugano,36720
2019-05-30,106,Horgen,81
2019-05-30,2103,Leventina,1204
2019-05-30,312,Luzern-Land,69
2019-05-30,2011,Arbon,21
2019-05-30,1723,Rheintal,101
2019-05-30,2313,Visp,26
2019-05-30,2228,Nyon,21
2019-05-30,1910,Zofingen,21
2019-05-30,1402,Reiat,47
2019-05-30,1851,Viamala,204
2019-05-30,9,Zug,206
2019-05-30,109,Uster,83
2019-05-30,1842,Bernina,61
2019-05-30,2108,Vallemaggia,202
2019-05-30,503,Höfe,28
2019-05-30,105,Hinwil,42
2019-05-30,311,Luzern-Stadt,271
2019-05-30,1846,Maloja,69
2019-05-30,2221,Aigle,23
2019-05-30,1727,Toggenburg,22
2019-05-30,1301,Arlesheim,88
2019-05-30,2225,Lausanne,74
2019-05-30,1403,Schaffhausen,68
2019-05-30,12,Basel-Stadt,510
2019-05-30,313,Hochdorf,30
2019-05-30,7,Nidwalden,42
2019-05-30,1722,Rorschach,21
2019-05-30,103,Bülach,161
2019-05-30,108,Pfäffikon,34
2019-05-30,2101,Bellinzona,3747
2019-05-30,1726,See-Gaster,24
2019-05-30,505,March,28
2019-05-30,2107,Riviera,429
2019-05-30,112,Zürich,1246
2019-05-30,1845,Landquart,54
2019-05-30,2012,Frauenfeld,42
2019-05-30,1901,Aarau,29
2019-05-30,1849,Prättigau/Davos,22
2019-05-30,314,Sursee,58
2019-05-30,2013,Kreuzlingen,30
2019-05-30,250,Interlaken-Oberhasli,42
2019-05-30,1844,Imboden,83
2019-05-30,104,Dielsdorf,46
2019-05-30,1108,Olten,60
2019-05-30,1721,St. Gallen,72
2019-05-30,1903,Bremgarten,41
2019-05-30,246,Bern-Mittelland,149
2019-05-30,2102,Blenio,305
2019-05-30,315,Willisau,24
2019-05-30,1725,Sarganserland,89
2019-05-30,1303,Liestal,56
2019-05-30,107,Meilen,75
2019-05-30,242,Biel/Bienne,47
2019-05-30,4,Uri,1119
2019-05-30,506,Schwyz,182
2019-05-30,1004,La Sarine,48
2019-05-30,1902,Baden,56
2019-05-30,111,Dietikon,54
2019-05-30,1848,Plessur,76
2019-05-30,2106,Mendrisio,16488
2019-05-30,-1,Other,676
2019-05-31,101,Affoltern,30
2019-05-31,1850,Surselva,66
2019-05-31,2104,Locarno,4956
2019-05-31,247,Thun,23
2019-05-31,24,Neuchâtel,55
2019-05-31,1724,Werdenberg,110
2019-05-31,1904,Brugg,24
2019-05-31,25,Genève,65
2019-05-31,110,Winterthur,59
2019-05-31,2301,Brig,43
2019-05-31,1847,Moesa,607
2019-05-31,2105,Lugano,55990
2019-05-31,106,Horgen,94
2019-05-31,2103,Leventina,794
2019-05-31,312,Luzern-Land,96
2019-05-31,1723,Rheintal,59
2019-05-31,1910,Zofingen,22
2019-05-31,1402,Reiat,23
2019-05-31,1851,Viamala,99
2019-05-31,9,Zug,108
2019-05-31,109,Uster,41
2019-05-31,1842,Bernina,97
2019-05-31,2108,Vallemaggia,160
2019-05-31,105,Hinwil,21
2019-05-31,311,Luzern-Stadt,256
2019-05-31,1846,Maloja,96
2019-05-31,1301,Arlesheim,46
2019-05-31,2225,Lausanne,53
2019-05-31,1403,Schaffhausen,25
2019-05-31,12,Basel-Stadt,223
2019-05-31,313,Hochdorf,44
2019-05-31,7,Nidwalden,49
2019-05-31,245,Emmental,28
2019-05-31,103,Bülach,141
2019-05-31,1841,Albula,25
2019-05-31,2101,Bellinzona,7758
2019-05-31,1726,See-Gaster,34
2019-05-31,241,Jura bernois,23
2019-05-31,2107,Riviera,649
2019-05-31,112,Zürich,796
2019-05-31,1845,Landquart,44
2019-05-31,1901,Aarau,22
2019-05-31,314,Sursee,67
2019-05-31,250,Interlaken-Oberhasli,41
2019-05-31,1844,Imboden,32
2019-05-31,104,Dielsdorf,40
2019-05-31,1108,Olten,48
2019-05-31,1721,St. Gallen,48
2019-05-31,1903,Bremgarten,22
2019-05-31,246,Bern-Mittelland,109
2019-05-31,2102,Blenio,326
2019-05-31,315,Willisau,21
2019-05-31,1725,Sarganserland,35
2019-05-31,1303,Liestal,42
2019-05-31,107,Meilen,55
2019-05-31,242,Biel/Bienne,26
2019-05-31,4,Uri,255
2019-05-31,506,Schwyz,124
2019-05-31,1004,La Sarine,25
2019-05-31,1902,Baden,47
2019-05-31,111,Dietikon,49
2019-05-31,1848,Plessur,34
2019-05-31,2106,Mendrisio,23665
2019-05-31,-1,Other,677
2019-06-01,101,Affoltern,28
2019-06-01,1850,Surselva,59
2019-06-01,2104,Locarno,3941
2019-06-01,1724,Werdenberg,103
2019-06-01,25,Genève,46
2019-06-01,504,Küssnacht (SZ),21
2019-06-01,1907,Lenzburg,22
2019-06-01,2301,Brig,27
2019-06-01,1847,Moesa,526
2019-06-01,2105,Lugano,47449
2019-06-01,106,Horgen,61
2019-06-01,2103,Leventina,903
2019-06-01,312,Luzern-Land,89
2019-06-01,6,Obwalden,29
2019-06-01,1723,Rheintal,49
2019-06-01,2313,Visp,27
2019-06-01,1910,Zofingen,33
2019-06-01,1851,Viamala,79
2019-06-01,9,Zug,83
2019-06-01,109,Uster,41
2019-06-01,1842,Bernina,104
2019-06-01,2108,Vallemaggia,160
2019-06-01,105,Hinwil,26
2019-06-01,311,Luzern-Stadt,192
2019-06-01,1846,Maloja,171
2019-06-01,1301,Arlesheim,59
2019-06-01,2225,Lausanne,32
2019-06-01,1403,Schaffhausen,21
2019-06-01,12,Basel-Stadt,241
2019-06-01,313,Hochdorf,38
2019-06-01,7,Nidwalden,35
2019-06-01,103,Bülach,119
2019-06-01,108,Pfäffikon,21
2019-06-01,1841,Albula,36
2019-06-01,2101,Bellinzona,5530
2019-06-01,2107,Riviera,547
2019-06-01,112,Zürich,629
2019-06-01,1845,Landquart,23
2019-06-01,1901,Aarau,71
2019-06-01,314,Sursee,46
2019-06-01,250,Interlaken-Oberhasli,50
2019-06-01,1844,Imboden,31
2019-06-01,104,Dielsdorf,35
2019-06-01,1108,Olten,49
2019-06-01,1721,St. Gallen,27
2019-06-01,246,Bern-Mittelland,78
2019-06-01,2102,Blenio,311
2019-06-01,1725,Sarganserland,39
2019-06-01,1303,Liestal,23
2019-06-01,107,Meilen,30
2019-06-01,4,Uri,375
2019-06-01,506,Schwyz,86
2019-06-01,1902,Baden,48
2019-06-01,111,Dietikon,40
2019-06-01,1848,Plessur,46
2019-06-01,2106,Mendrisio,18807
2019-06-01,-1,Other,696
2019-06-02,1850,Surselva,38
2019-06-02,2104,Locarno,2899
2019-06-02,1724,Werdenberg,114
2019-06-02,25,Genève,77
2019-06-02,110,Winterthur,37
2019-06-02,2301,Brig,43
2019-06-02,1847,Moesa,551
2019-06-02,2105,Lugano,35796
2019-06-02,106,Horgen,52
2019-06-02,2103,Leventina,1018
2019-06-02,312,Luzern-Land,59
2019-06-02,6,Obwalden,77
2019-06-02,1723,Rheintal,64
2019-06-02,2015,Weinfelden,25
2019-06-02,1910,Zofingen,21
2019-06-02,1851,Viamala,113
2019-06-02,9,Zug,68
2019-06-02,1842,Bernina,143
2019-06-02,2108,Vallemaggia,232
2019-06-02,2304,Goms,21
2019-06-02,311,Luzern-Stadt,176
2019-06-02,1846,Maloja,173
2019-06-02,1301,Arlesheim,59
2019-06-02,2225,Lausanne,38
2019-06-02,1403,Schaffhausen,46
2019-06-02,12,Basel-Stadt,238
2019-06-02,313,Hochdorf,46
2019-06-02,7,Nidwalden,27
2019-06-02,103,Bülach,99
2019-06-02,1841,Albula,44
2019-06-02,2101,Bellinzona,3495
2019-06-02,1726,See-Gaster,34
2019-06-02,2107,Riviera,286
2019-06-02,112,Zürich,520
2019-06-02,1845,Landquart,54
2019-06-02,1901,Aarau,29
2019-06-02,1849,Prättigau/Davos,29
2019-06-02,314,Sursee,66
2019-06-02,2013,Kreuzlingen,25
2019-06-02,250,Interlaken-Oberhasli,44
2019-06-02,1844,Imboden,24
2019-06-02,2226,Lavaux-Oron,31
2019-06-02,1108,Olten,29
2019-06-02,246,Bern-Mittelland,101
2019-06-02,2102,Blenio,526
2019-06-02,1725,Sarganserland,25
2019-06-02,1303,Liestal,28
2019-06-02,107,Meilen,27
2019-06-02,4,Uri,248
2019-06-02,506,Schwyz,95
2019-06-02,1848,Plessur,28
2019-06-02,2106,Mendrisio,18649
2019-06-02,-1,Other,757
2019-06-03,1850,Surselva,43
2019-06-03,2104,Locarno,4712
2019-06-03,24,Neuchâtel,23
2019-06-03,1724,Werdenberg,79
2019-06-03,25,Genève,116
2019-06-03,110,Winterthur,24
2019-06-03,1847,Moesa,576
2019-06-03,2105,Lugano,55003
2019-06-03,106,Horgen,54
2019-06-03,2103,Leventina,753
2019-06-03,312,Luzern-Land,43
2019-06-03,6,Obwalden,21
2019-06-03,1723,Rheintal,32
2019-06-03,1851,Viamala,60
2019-06-03,9,Zug,60
2019-06-03,109,Uster,26
2019-06-03,1842,Bernina,85
2019-06-03,2108,Vallemaggia,143
2019-06-03,311,Luzern-Stadt,123
2019-06-03,1846,Maloja,73
2019-06-03,1301,Arlesheim,28
2019-06-03,2225,Lausanne,23
2019-06-03,12,Basel-Stadt,188
2019-06-03,7,Nidwalden,42
2019-06-03,245,Emmental,41
2019-06-03,103,Bülach,150
2019-06-03,2101,Bellinzona,9118
2019-06-03,2107,Riviera,773
2019-06-03,112,Zürich,484
2019-06-03,1845,Landquart,23
2019-06-03,1901,Aarau,21
2019-06-03,314,Sursee,41
2019-06-03,250,Interlaken-Oberhasli,47
2019-06-03,1108,Olten,24
2019-06-03,1721,St. Gallen,21
2019-06-03,246,Bern-Mittelland,92
2019-06-03,2102,Blenio,332
2019-06-03,315,Willisau,35
2019-06-03,1303,Liestal,24
2019-06-03,107,Meilen,37
2019-06-03,4,Uri,272
2019-06-03,506,Schwyz,70
2019-06-03,1004,La Sarine,24
2019-06-03,1902,Baden,37
2019-06-03,111,Dietikon,35
2019-06-03,2106,Mendrisio,26859
2019-06-03,-1,Other,748
2019-06-04,101,Affoltern,23
2019-06-04,1850,Surselva,36
2019-06-04,2104,Locarno,4752
2019-06-04,24,Neuchâtel,29
2019-06-04,1724,Werdenberg,66
2019-06-04,25,Genève,63
2019-06-04,110,Winterthur,33
2019-06-04,1907,Lenzburg,26
2019-06-04,1847,Moesa,610
2019-06-04,2105,Lugano,57668
2019-06-04,106,Horgen,41
2019-06-04,2103,Leventina,719
2019-06-04,312,Luzern-Land,57
2019-06-04,6,Obwalden,23
2019-06-04,1723,Rheintal,35
2019-06-04,1910,Zofingen,21
2019-06-04,1106,Wasseramt,21
2019-06-04,1851,Viamala,67
2019-06-04,9,Zug,99
2019-06-04,1842,Bernina,60
2019-06-04,2108,Vallemaggia,145
2019-06-04,311,Luzern-Stadt,179
2019-06-04,1846,Maloja,63
2019-06-04,1301,Arlesheim,46
2019-06-04,2225,Lausanne,27
2019-06-04,12,Basel-Stadt,158
2019-06-04,313,Hochdorf,30
2019-06-04,7,Nidwalden,31
2019-06-04,103,Bülach,130
2019-06-04,2101,Bellinzona,9670
2019-06-04,1726,See-Gaster,23
2019-06-04,2107,Riviera,877
2019-06-04,112,Zürich,552
2019-06-04,1845,Landquart,21
2019-06-04,314,Sursee,66
2019-06-04,250,Interlaken-Oberhasli,42
2019-06-04,1721,St. Gallen,34
2019-06-04,1903,Bremgarten,52
2019-06-04,246,Bern-Mittelland,117
2019-06-04,2102,Blenio,304
2019-06-04,315,Willisau,26
2019-06-04,1725,Sarganserland,41
2019-06-04,1303,Liestal,29
2019-06-04,107,Meilen,37
2019-06-04,4,Uri,178
2019-06-04,506,Schwyz,78
2019-06-04,1902,Baden,36
2019-06-04,111,Dietikon,22
2019-06-04,1848,Plessur,27
2019-06-04,2106,Mendrisio,26754
2019-06-04,-1,Other,650
2019-06-05,1850,Surselva,23
2019-06-05,2104,Locarno,4660
2019-06-05,24,Neuchâtel,23
2019-06-05,1724,Werdenberg,84
2019-06-05,25,Genève,65
2019-06-05,110,Winterthur,66
2019-06-05,1847,Moesa,602
2019-06-05,2105,Lugano,56456
2019-06-05,1911,Zurzach,42
2019-06-05,106,Horgen,54
2019-06-05,2103,Leventina,786
2019-06-05,312,Luzern-Land,69
2019-06-05,1723,Rheintal,32
2019-06-05,1851,Viamala,56
2019-06-05,9,Zug,86
2019-06-05,109,Uster,30
2019-06-05,1842,Bernina,49
2019-06-05,2108,Vallemaggia,160
2019-06-05,503,Höfe,29
2019-06-05,105,Hinwil,22
2019-06-05,311,Luzern-Stadt,154
2019-06-05,1846,Maloja,48
2019-06-05,1301,Arlesheim,27
2019-06-05,2225,Lausanne,26
2019-06-05,12,Basel-Stadt,158
2019-06-05,313,Hochdorf,30
2019-06-05,7,Nidwalden,42
2019-06-05,103,Bülach,146
2019-06-05,2101,Bellinzona,9757
2019-06-05,1726,See-Gaster,21
2019-06-05,2107,Riviera,864
2019-06-05,112,Zürich,627
2019-06-05,1845,Landquart,21
2019-06-05,314,Sursee,49
2019-06-05,250,Interlaken-Oberhasli,36
2019-06-05,104,Dielsdorf,36
2019-06-05,1108,Olten,34
2019-06-05,1721,St. Gallen,28
2019-06-05,1903,Bremgarten,34
2019-06-05,246,Bern-Mittelland,111
2019-06-05,2102,Blenio,271
2019-06-05,315,Willisau,25
2019-06-05,1303,Liestal,21
2019-06-05,107,Meilen,38
2019-06-05,242,Biel/Bienne,27
2019-06-05,4,Uri,286
2019-06-05,506,Schwyz,136
2019-06-05,1004,La Sarine,32
2019-06-05,1902,Baden,29
2019-06-05,111,Dietikon,37
2019-06-05,1848,Plessur,32
2019-06-05,2106,Mendrisio,26897
2019-06-05,-1,Other,629
2019-06-06,101,Affoltern,25
2019-06-06,2309,Raron,21
2019-06-06,2104,Locarno,4895
2019-06-06,24,Neuchâtel,34
2019-06-06,1724,Werdenberg,136
2019-06-06,25,Genève,92
2019-06-06,110,Winterthur,51
2019-06-06,2301,Brig,37
2019-06-06,1847,Moesa,672
2019-06-06,2105,Lugano,54421
2019-06-06,106,Horgen,75
2019-06-06,2103,Leventina,730
2019-06-06,312,Luzern-Land,74
2019-06-06,6,Obwalden,35
2019-06-06,1723,Rheintal,61
2019-06-06,2313,Visp,29
2019-06-06,1910,Zofingen,30
2019-06-06,1851,Viamala,62
2019-06-06,9,Zug,119
2019-06-06,109,Uster,39
2019-06-06,1842,Bernina,89
2019-06-06,2108,Vallemaggia,137
2019-06-06,503,Höfe,44
2019-06-06,105,Hinwil,29
2019-06-06,311,Luzern-Stadt,169
2019-06-06,1846,Maloja,77
2019-06-06,1301,Arlesheim,44
2019-06-06,2225,Lausanne,53
2019-06-06,1403,Schaffhausen,27
2019-06-06,12,Basel-Stadt,245
2019-06-06,313,Hochdorf,54
2019-06-06,7,Nidwalden,48
2019-06-06,103,Bülach,157
2019-06-06,2101,Bellinzona,10072
2019-06-06,1726,See-Gaster,29
2019-06-06,1304,Sissach,26
2019-06-06,2107,Riviera,851
2019-06-06,112,Zürich,754
2019-06-06,1845,Landquart,47
2019-06-06,1901,Aarau,23
2019-06-06,314,Sursee,50
2019-06-06,250,Interlaken-Oberhasli,39
2019-06-06,104,Dielsdorf,33
2019-06-06,1108,Olten,31
2019-06-06,1721,St. Gallen,28
2019-06-06,1903,Bremgarten,31
2019-06-06,1101,Gäu,27
2019-06-06,246,Bern-Mittelland,190
2019-06-06,2102,Blenio,330
2019-06-06,315,Willisau,33
2019-06-06,1725,Sarganserland,34
2019-06-06,1303,Liestal,46
2019-06-06,107,Meilen,44
2019-06-06,242,Biel/Bienne,24
2019-06-06,4,Uri,231
2019-06-06,506,Schwyz,77
2019-06-06,1004,La Sarine,41
2019-06-06,1902,Baden,27
2019-06-06,111,Dietikon,52
2019-06-06,1848,Plessur,41
2019-06-06,2106,Mendrisio,26324
2019-06-06,-1,Other,585
2019-06-07,101,Affoltern,36
2019-06-07,1850,Surselva,33
2019-06-07,2104,Locarno,4501
2019-06-07,24,Neuchâtel,37
2019-06-07,1724,Werdenberg,285
2019-06-07,25,Genève,138
2019-06-07,110,Winterthur,53
2019-06-07,2301,Brig,68
2019-06-07,1847,Moesa,609
2019-06-07,2105,Lugano,55537
2019-06-07,106,Horgen,86
2019-06-07,2103,Leventina,856
2019-06-07,312,Luzern-Land,89
2019-06-07,2011,Arbon,30
2019-06-07,6,Obwalden,27
2019-06-07,1723,Rheintal,105
2019-06-07,2313,Visp,35
2019-06-07,1910,Zofingen,33
2019-06-07,1402,Reiat,46
2019-06-07,1851,Viamala,92
2019-06-07,9,Zug,155
2019-06-07,109,Uster,67
2019-06-07,1842,Bernina,63
2019-06-07,2108,Vallemaggia,152
2019-06-07,503,Höfe,24
2019-06-07,105,Hinwil,25
2019-06-07,244,Oberaargau,22
2019-06-07,311,Luzern-Stadt,236
2019-06-07,1846,Maloja,110
2019-06-07,1301,Arlesheim,92
2019-06-07,2225,Lausanne,79
2019-06-07,1403,Schaffhausen,65
2019-06-07,12,Basel-Stadt,406
2019-06-07,313,Hochdorf,55
2019-06-07,7,Nidwalden,62
2019-06-07,103,Bülach,183
2019-06-07,108,Pfäffikon,34
2019-06-07,1841,Albula,21
2019-06-07,2101,Bellinzona,9702
2019-06-07,1726,See-Gaster,36
2019-06-07,1304,Sissach,22
2019-06-07,2107,Riviera,765
2019-06-07,112,Zürich,1104
2019-06-07,1845,Landquart,53
